num,global_rounds,id_list
13,10,"[43, 95, 5, 29, 1, 63, 23, 33, 35, 53, 81, 54, 69, 7, 82, 84, 49, 46, 31, 25, 73, 3, 22, 94, 61, 59, 74, 16, 17, 4, 45, 26, 70, 97, 68, 83, 75, 12, 48, 2, 67, 18, 51, 50, 52, 92, 77, 6, 32, 8, 60, 98, 86, 71, 38, 24, 9, 44, 62, 65]"
14,11,"[84, 73, 91, 18, 34, 80, 19, 41, 23, 39, 33, 28, 1, 17, 22, 59, 88, 27, 52, 26, 35, 7, 63, 92, 58, 3, 55, 83, 20, 47, 81, 15, 40, 43, 51, 76, 14, 42, 70, 2, 78, 53, 38, 10, 72, 60, 79, 50, 66, 16, 46, 24, 0, 13, 9, 95, 94, 61, 96, 89]"
15,12,"[53, 41, 61, 31, 3, 30, 15, 19, 22, 16, 35, 78, 42, 38, 33, 21, 96, 2, 71, 84, 76, 98, 25, 85, 79, 10, 50, 97, 95, 5, 11, 4, 75, 56, 8, 14, 94, 69, 55, 54, 6, 27, 49, 28, 82, 46, 60, 39, 44, 26, 65, 91, 88, 81, 59, 80, 12, 34, 1, 29]"
16,13,"[42, 20, 57, 0, 63, 18, 71, 9, 88, 22, 7, 27, 21, 25, 6, 95, 96, 1, 40, 39, 90, 83, 34, 55, 78, 12, 99, 86, 48, 98, 93, 38, 75, 60, 13, 24, 56, 84, 65, 61, 87, 19, 36, 15, 8, 46, 58, 14, 53, 70, 79, 5, 76, 43, 30, 49, 33, 17, 37, 29]"
17,14,"[70, 93, 1, 38, 98, 32, 15, 20, 26, 41, 5, 29, 42, 71, 86, 54, 27, 90, 39, 28, 0, 67, 3, 52, 76, 65, 34, 24, 10, 33, 21, 75, 45, 88, 69, 80, 99, 84, 79, 66, 78, 87, 81, 60, 12, 31, 30, 43, 61, 44, 13, 36, 22, 72, 94, 82, 85, 35, 25, 19]"
18,15,"[50, 54, 59, 21, 73, 53, 20, 19, 25, 28, 89, 42, 45, 82, 81, 18, 3, 1, 13, 6, 66, 58, 64, 97, 85, 79, 15, 11, 23, 38, 49, 37, 30, 60, 77, 93, 68, 95, 88, 74, 55, 78, 44, 92, 84, 69, 2, 32, 26, 67, 16, 71, 96, 80, 17, 8, 70, 98, 24, 72]"
19,16,"[49, 29, 11, 5, 98, 87, 67, 36, 81, 20, 47, 13, 46, 41, 83, 57, 19, 73, 42, 9, 69, 96, 55, 86, 50, 12, 51, 99, 90, 82, 40, 85, 33, 1, 6, 2, 45, 56, 44, 30, 53, 97, 93, 74, 25, 84, 61, 65, 52, 66, 94, 62, 10, 59, 68, 27, 88, 89, 75, 80]"
20,17,"[59, 89, 46, 62, 64, 8, 56, 32, 33, 24, 5, 99, 79, 10, 16, 55, 86, 81, 57, 7, 21, 45, 4, 78, 2, 50, 43, 90, 17, 22, 23, 70, 75, 15, 12, 73, 1, 84, 28, 76, 54, 71, 83, 30, 72, 25, 53, 95, 27, 60, 63, 94, 52, 39, 68, 87, 98, 92, 37, 9]"
21,18,"[64, 14, 10, 89, 2, 31, 18, 15, 81, 48, 6, 68, 23, 93, 72, 12, 11, 76, 26, 1, 97, 34, 29, 71, 87, 7, 95, 0, 69, 25, 66, 33, 32, 41, 16, 77, 39, 57, 96, 83, 35, 88, 24, 75, 79, 28, 9, 91, 52, 74, 58, 62, 30, 86, 60, 19, 43, 46, 22, 63]"
22,19,"[63, 51, 91, 60, 5, 2, 33, 57, 64, 88, 82, 62, 10, 83, 4, 66, 69, 47, 92, 23, 15, 30, 13, 41, 46, 31, 29, 99, 27, 70, 42, 22, 71, 84, 50, 38, 17, 49, 7, 85, 79, 78, 75, 44, 36, 86, 93, 40, 80, 52, 67, 8, 68, 9, 21, 34, 43, 32, 94, 73]"
23,20,"[5, 71, 52, 50, 66, 4, 32, 61, 62, 38, 98, 2, 80, 44, 77, 49, 6, 26, 24, 84, 87, 33, 19, 21, 63, 30, 91, 23, 82, 17, 20, 39, 47, 76, 31, 9, 13, 60, 43, 42, 0, 78, 97, 95, 99, 86, 69, 64, 55, 85, 1, 56, 25, 8, 70, 46, 79, 81, 41, 96]"
24,21,"[62, 8, 83, 9, 94, 99, 55, 43, 35, 68, 37, 60, 4, 12, 20, 97, 52, 85, 45, 72, 16, 63, 53, 92, 32, 23, 39, 33, 15, 5, 89, 57, 29, 27, 75, 67, 71, 70, 69, 38, 90, 7, 22, 86, 19, 73, 87, 26, 51, 77, 48, 59, 82, 36, 79, 93, 64, 34, 25, 76]"
25,22,"[77, 11, 80, 39, 64, 19, 40, 56, 1, 31, 79, 32, 4, 7, 84, 35, 69, 65, 49, 28, 90, 59, 3, 89, 71, 0, 94, 95, 41, 21, 55, 75, 68, 88, 91, 9, 50, 51, 54, 97, 45, 57, 27, 44, 48, 53, 78, 63, 99, 62, 33, 20, 43, 17, 26, 13, 42, 6, 15, 25]"
26,23,"[86, 39, 35, 77, 64, 73, 16, 14, 32, 92, 44, 11, 69, 30, 50, 91, 9, 98, 2, 70, 4, 66, 31, 20, 75, 52, 99, 29, 34, 76, 74, 61, 40, 71, 18, 68, 90, 48, 33, 28, 72, 13, 15, 79, 5, 97, 57, 51, 43, 93, 22, 42, 24, 12, 85, 37, 63, 17, 36, 25]"
27,24,"[4, 52, 18, 47, 68, 91, 21, 96, 73, 99, 58, 77, 65, 88, 36, 38, 25, 61, 64, 0, 56, 46, 53, 29, 43, 26, 69, 34, 23, 6, 30, 67, 87, 70, 35, 95, 72, 98, 81, 11, 84, 45, 22, 8, 3, 55, 86, 20, 60, 33, 42, 48, 17, 14, 93, 10, 78, 80, 83, 40]"
28,25,"[47, 40, 8, 59, 89, 4, 6, 44, 1, 22, 34, 35, 52, 3, 91, 71, 18, 28, 20, 27, 24, 78, 16, 54, 19, 96, 60, 63, 81, 97, 66, 14, 32, 10, 36, 94, 79, 21, 92, 90, 29, 46, 80, 9, 53, 62, 64, 17, 43, 69, 68, 76, 65, 88, 95, 61, 39, 33, 75, 7]"
29,26,"[31, 23, 84, 71, 79, 11, 41, 51, 52, 43, 54, 97, 50, 20, 56, 46, 21, 74, 64, 72, 5, 96, 99, 83, 80, 75, 37, 88, 60, 19, 2, 81, 33, 3, 48, 26, 90, 82, 98, 1, 78, 24, 14, 4, 92, 85, 8, 29, 77, 32, 34, 40, 57, 69, 91, 66, 10, 35, 25, 38]"
30,27,"[29, 54, 77, 9, 13, 0, 64, 56, 44, 42, 8, 92, 39, 3, 69, 33, 7, 57, 61, 59, 36, 55, 96, 6, 75, 80, 47, 98, 81, 4, 52, 2, 32, 22, 5, 10, 71, 76, 88, 62, 45, 60, 83, 35, 40, 97, 79, 91, 30, 65, 48, 41, 93, 38, 67, 20, 24, 46, 34, 17]"
31,28,"[77, 14, 13, 31, 68, 25, 33, 17, 50, 1, 15, 56, 61, 49, 0, 36, 51, 83, 41, 58, 47, 98, 12, 32, 6, 66, 21, 55, 52, 37, 91, 48, 44, 62, 16, 24, 74, 81, 78, 18, 65, 97, 63, 92, 29, 43, 76, 2, 67, 69, 34, 28, 8, 73, 9, 99, 82, 84, 75, 79]"
32,29,"[25, 83, 29, 71, 7, 56, 48, 64, 32, 84, 57, 2, 58, 14, 18, 55, 61, 0, 17, 15, 54, 4, 51, 38, 10, 93, 5, 81, 44, 67, 45, 11, 9, 40, 39, 90, 24, 19, 65, 43, 27, 74, 62, 63, 82, 12, 36, 8, 94, 69, 97, 88, 73, 49, 80, 98, 79, 89, 60, 37]"
33,30,"[70, 88, 57, 2, 86, 52, 22, 68, 19, 91, 23, 0, 55, 87, 63, 79, 15, 85, 7, 4, 36, 60, 9, 17, 44, 16, 84, 77, 34, 97, 69, 35, 72, 26, 30, 24, 12, 40, 90, 42, 58, 53, 33, 45, 13, 78, 5, 76, 1, 18, 46, 20, 92, 27, 49, 41, 54, 32, 50, 39]"
34,31,"[45, 9, 43, 93, 24, 99, 12, 91, 0, 25, 60, 14, 44, 70, 47, 80, 95, 2, 17, 58, 21, 37, 89, 56, 74, 85, 90, 78, 98, 20, 6, 39, 27, 36, 55, 88, 86, 69, 3, 42, 65, 10, 41, 72, 48, 52, 4, 61, 49, 83, 53, 59, 38, 19, 57, 54, 28, 50, 66, 71]"
35,32,"[78, 19, 55, 22, 4, 41, 61, 37, 98, 57, 3, 6, 24, 44, 18, 39, 68, 9, 90, 95, 54, 58, 43, 32, 92, 53, 23, 66, 75, 30, 20, 71, 1, 12, 72, 14, 49, 29, 70, 64, 27, 82, 96, 17, 2, 31, 81, 33, 91, 83, 93, 73, 7, 74, 15, 77, 76, 13, 46, 97]"
36,33,"[10, 91, 28, 32, 50, 78, 6, 83, 11, 2, 1, 97, 96, 89, 9, 62, 30, 95, 69, 57, 88, 33, 53, 39, 54, 58, 41, 87, 46, 22, 27, 35, 13, 70, 16, 25, 59, 45, 76, 82, 0, 7, 23, 18, 90, 60, 99, 61, 71, 42, 14, 8, 40, 55, 98, 80, 77, 79, 67, 74]"
37,34,"[42, 31, 46, 61, 77, 95, 97, 65, 11, 41, 78, 13, 24, 38, 80, 75, 60, 1, 35, 51, 18, 5, 68, 29, 25, 92, 98, 57, 45, 55, 70, 21, 36, 82, 90, 4, 49, 43, 64, 66, 48, 54, 33, 37, 40, 58, 53, 12, 88, 44, 89, 94, 9, 39, 34, 19, 14, 81, 10, 91]"
38,35,"[25, 18, 87, 97, 3, 21, 75, 43, 73, 77, 85, 84, 66, 42, 80, 35, 70, 71, 24, 55, 36, 30, 72, 41, 0, 20, 10, 50, 8, 64, 88, 56, 93, 95, 1, 15, 68, 4, 14, 76, 45, 53, 92, 82, 16, 49, 94, 52, 6, 90, 59, 9, 19, 23, 22, 78, 31, 37, 12, 5]"
39,36,"[83, 79, 33, 96, 64, 91, 55, 10, 77, 59, 7, 98, 51, 78, 94, 87, 36, 35, 16, 49, 76, 13, 30, 89, 11, 56, 71, 25, 93, 57, 60, 80, 88, 58, 12, 9, 6, 34, 29, 41, 86, 48, 61, 18, 46, 26, 28, 4, 20, 38, 37, 32, 50, 40, 54, 74, 70, 90, 21, 62]"
40,37,"[76, 79, 74, 9, 29, 37, 14, 95, 85, 23, 30, 52, 53, 35, 69, 93, 56, 73, 61, 2, 94, 91, 21, 13, 77, 97, 27, 50, 20, 39, 7, 42, 3, 44, 15, 6, 51, 72, 57, 24, 43, 33, 81, 96, 90, 18, 75, 88, 55, 48, 16, 89, 45, 87, 58, 71, 41, 64, 78, 70]"
41,38,"[32, 84, 20, 74, 35, 52, 9, 99, 44, 88, 39, 64, 80, 97, 21, 23, 19, 13, 14, 78, 16, 71, 45, 0, 53, 49, 59, 89, 54, 37, 34, 94, 86, 92, 87, 83, 24, 61, 72, 77, 42, 29, 33, 18, 17, 40, 31, 5, 63, 25, 50, 4, 7, 69, 10, 26, 60, 12, 46, 65]"
42,39,"[70, 92, 81, 88, 45, 86, 51, 21, 7, 80, 54, 18, 89, 73, 58, 61, 50, 85, 20, 34, 26, 57, 14, 9, 60, 38, 28, 42, 65, 91, 10, 90, 44, 22, 4, 41, 77, 79, 24, 16, 75, 74, 97, 76, 56, 82, 67, 25, 32, 68, 0, 78, 96, 1, 27, 33, 83, 46, 48, 29]"
43,40,"[12, 86, 30, 16, 85, 7, 74, 10, 37, 4, 48, 43, 52, 25, 62, 65, 53, 63, 83, 42, 51, 92, 24, 13, 31, 66, 60, 84, 58, 29, 33, 17, 34, 82, 50, 3, 14, 5, 6, 99, 71, 9, 36, 21, 96, 20, 54, 61, 87, 40, 81, 79, 97, 76, 57, 90, 22, 45, 19, 64]"
44,41,"[17, 39, 75, 6, 98, 12, 33, 15, 50, 29, 76, 72, 67, 3, 14, 63, 85, 45, 44, 58, 79, 60, 8, 28, 84, 59, 32, 87, 52, 86, 26, 25, 56, 1, 99, 9, 7, 43, 90, 89, 20, 34, 10, 77, 11, 68, 61, 95, 94, 74, 27, 42, 97, 2, 57, 13, 41, 47, 83, 51]"
45,42,"[95, 98, 75, 0, 89, 40, 91, 25, 39, 24, 20, 63, 49, 65, 69, 77, 82, 66, 37, 33, 80, 79, 18, 81, 38, 71, 97, 1, 10, 52, 88, 94, 67, 72, 86, 43, 74, 6, 26, 44, 28, 64, 96, 62, 76, 8, 92, 87, 27, 51, 11, 17, 93, 21, 61, 3, 30, 23, 19, 13]"
46,43,"[9, 90, 48, 92, 59, 66, 31, 53, 98, 94, 60, 5, 81, 91, 77, 29, 41, 70, 27, 80, 47, 88, 36, 55, 23, 68, 83, 12, 52, 51, 28, 3, 74, 61, 56, 14, 22, 79, 20, 57, 58, 96, 71, 63, 38, 49, 65, 30, 1, 7, 84, 72, 75, 67, 26, 4, 39, 2, 69, 82]"
47,44,"[35, 83, 34, 92, 38, 12, 58, 49, 43, 24, 95, 74, 52, 78, 61, 16, 81, 46, 75, 69, 96, 20, 17, 32, 14, 56, 10, 76, 65, 89, 42, 9, 86, 47, 50, 77, 68, 21, 7, 87, 51, 28, 72, 71, 62, 23, 41, 91, 15, 90, 54, 97, 70, 33, 36, 82, 55, 94, 59, 4]"
48,45,"[57, 61, 64, 36, 55, 66, 11, 84, 18, 93, 41, 43, 40, 85, 21, 15, 14, 59, 47, 99, 82, 71, 33, 8, 26, 86, 76, 79, 75, 17, 42, 27, 48, 6, 46, 28, 94, 19, 39, 44, 0, 88, 49, 69, 96, 22, 53, 72, 77, 52, 70, 7, 30, 1, 38, 5, 54, 73, 20, 58]"
49,46,"[39, 35, 2, 38, 54, 45, 31, 64, 24, 62, 26, 75, 67, 37, 85, 73, 30, 56, 25, 1, 9, 40, 3, 44, 18, 91, 10, 99, 58, 14, 89, 7, 16, 32, 12, 29, 92, 72, 15, 34, 0, 80, 36, 33, 42, 19, 83, 84, 11, 5, 66, 61, 46, 43, 90, 28, 76, 8, 21, 23]"
50,47,"[81, 49, 45, 37, 62, 24, 70, 50, 85, 0, 95, 74, 21, 79, 26, 4, 27, 5, 55, 18, 51, 90, 44, 86, 66, 38, 52, 36, 3, 98, 34, 22, 61, 57, 7, 72, 69, 97, 87, 23, 14, 28, 76, 46, 65, 2, 80, 68, 17, 93, 91, 82, 78, 54, 1, 60, 29, 89, 84, 75]"
51,48,"[58, 5, 7, 70, 16, 8, 98, 26, 41, 83, 91, 46, 49, 96, 4, 30, 17, 21, 71, 81, 13, 79, 6, 37, 75, 36, 89, 69, 35, 47, 78, 73, 57, 48, 23, 51, 38, 10, 63, 42, 92, 11, 66, 39, 50, 68, 59, 34, 87, 62, 82, 20, 60, 94, 32, 64, 2, 52, 56, 77]"
52,49,"[54, 60, 26, 47, 28, 7, 70, 6, 44, 86, 91, 76, 8, 93, 43, 94, 37, 5, 72, 15, 88, 83, 48, 77, 82, 96, 73, 89, 55, 69, 85, 98, 27, 65, 97, 1, 90, 75, 13, 50, 12, 39, 34, 0, 2, 36, 58, 87, 56, 40, 29, 78, 99, 80, 67, 16, 33, 71, 4, 19]"
53,50,"[98, 1, 53, 87, 61, 32, 78, 97, 16, 92, 6, 22, 10, 68, 18, 2, 15, 93, 79, 14, 77, 13, 28, 35, 60, 91, 50, 48, 71, 83, 59, 75, 85, 82, 58, 95, 63, 33, 65, 0, 17, 4, 30, 84, 42, 37, 46, 26, 72, 39, 20, 40, 57, 80, 70, 56, 36, 34, 54, 31]"
54,51,"[12, 7, 28, 94, 79, 6, 39, 17, 48, 65, 51, 9, 77, 3, 10, 71, 41, 57, 75, 42, 47, 46, 66, 98, 13, 15, 64, 63, 85, 54, 21, 68, 92, 52, 70, 61, 2, 69, 49, 37, 30, 29, 16, 43, 34, 27, 58, 33, 4, 53, 99, 93, 18, 23, 73, 82, 81, 19, 88, 62]"
55,52,"[96, 32, 72, 33, 28, 7, 66, 21, 49, 16, 45, 71, 50, 54, 6, 2, 48, 42, 24, 31, 74, 61, 69, 80, 85, 53, 41, 19, 93, 63, 35, 70, 18, 0, 81, 97, 23, 83, 84, 79, 95, 34, 76, 68, 73, 65, 57, 12, 87, 46, 90, 11, 82, 10, 30, 15, 9, 64, 62, 20]"
56,53,"[65, 5, 19, 81, 68, 46, 45, 75, 82, 66, 96, 88, 89, 33, 74, 76, 18, 78, 39, 27, 84, 35, 22, 67, 15, 12, 48, 92, 97, 49, 0, 34, 17, 41, 14, 72, 42, 1, 26, 95, 31, 47, 59, 99, 62, 98, 10, 37, 80, 36, 3, 57, 64, 28, 32, 4, 53, 40, 71, 55]"
57,54,"[44, 40, 3, 29, 24, 22, 82, 64, 83, 1, 54, 65, 47, 80, 53, 89, 2, 27, 88, 7, 67, 91, 79, 25, 41, 39, 73, 58, 20, 8, 99, 23, 90, 56, 43, 68, 4, 48, 36, 38, 10, 19, 60, 32, 21, 55, 9, 71, 28, 96, 49, 84, 97, 76, 94, 74, 5, 85, 92, 98]"
58,55,"[68, 66, 90, 5, 77, 12, 65, 13, 86, 69, 50, 36, 7, 29, 54, 67, 17, 10, 34, 63, 55, 6, 35, 27, 38, 79, 2, 19, 9, 30, 60, 11, 75, 20, 88, 37, 24, 25, 82, 46, 59, 47, 85, 74, 22, 93, 53, 97, 99, 16, 91, 45, 39, 58, 15, 52, 31, 48, 49, 62]"
59,56,"[64, 21, 7, 58, 49, 0, 18, 52, 29, 53, 38, 70, 9, 48, 98, 97, 51, 71, 17, 36, 91, 6, 73, 90, 16, 60, 13, 24, 72, 30, 87, 77, 50, 99, 92, 96, 11, 46, 20, 86, 65, 39, 55, 2, 66, 12, 8, 34, 84, 68, 82, 89, 40, 28, 59, 61, 37, 62, 10, 33]"
60,57,"[20, 54, 23, 57, 41, 26, 6, 86, 75, 45, 3, 62, 40, 51, 65, 15, 2, 34, 85, 42, 90, 67, 16, 18, 11, 9, 72, 68, 8, 19, 53, 56, 97, 74, 99, 0, 55, 37, 81, 78, 24, 4, 29, 7, 36, 76, 43, 89, 82, 22, 31, 92, 93, 91, 66, 71, 63, 39, 35, 95]"
61,58,"[23, 11, 81, 37, 40, 58, 25, 7, 74, 32, 24, 4, 71, 63, 52, 41, 44, 65, 79, 43, 18, 49, 66, 50, 35, 69, 2, 45, 5, 94, 47, 57, 93, 84, 72, 22, 38, 67, 30, 95, 75, 8, 42, 10, 55, 96, 6, 28, 17, 20, 19, 88, 73, 59, 91, 21, 60, 86, 76, 54]"
62,59,"[63, 64, 14, 23, 89, 90, 81, 86, 44, 82, 83, 94, 93, 4, 10, 26, 79, 13, 73, 62, 7, 80, 95, 78, 21, 74, 58, 19, 28, 57, 29, 17, 12, 46, 53, 48, 27, 71, 76, 18, 11, 22, 33, 60, 88, 41, 87, 24, 85, 35, 69, 67, 15, 8, 2, 36, 84, 30, 20, 47]"
63,60,"[98, 8, 62, 74, 59, 67, 21, 94, 52, 28, 88, 29, 30, 18, 63, 41, 15, 10, 85, 81, 53, 58, 43, 61, 1, 20, 65, 96, 60, 35, 78, 37, 36, 47, 14, 26, 70, 48, 22, 95, 24, 5, 82, 72, 77, 55, 33, 66, 92, 68, 50, 27, 40, 54, 83, 51, 13, 90, 7, 84]"
64,61,"[53, 72, 62, 13, 50, 57, 96, 74, 41, 81, 88, 3, 60, 33, 40, 23, 80, 83, 25, 67, 0, 61, 77, 38, 37, 8, 45, 27, 87, 44, 55, 75, 54, 12, 4, 79, 92, 52, 24, 85, 14, 95, 97, 82, 32, 5, 64, 17, 86, 46, 20, 16, 11, 7, 10, 65, 73, 31, 58, 76]"
65,62,"[37, 35, 74, 76, 77, 9, 97, 83, 58, 59, 98, 46, 4, 18, 82, 99, 54, 72, 11, 29, 19, 13, 44, 22, 21, 36, 70, 17, 53, 95, 91, 34, 89, 80, 30, 14, 86, 1, 73, 84, 85, 27, 51, 79, 26, 5, 90, 45, 31, 40, 42, 47, 60, 50, 25, 92, 8, 7, 63, 39]"
66,63,"[72, 75, 42, 90, 84, 93, 22, 74, 33, 4, 85, 13, 56, 88, 60, 8, 14, 50, 34, 40, 2, 37, 28, 30, 27, 52, 58, 35, 44, 81, 55, 77, 48, 18, 45, 32, 82, 46, 9, 47, 54, 7, 71, 61, 5, 76, 64, 65, 79, 83, 57, 12, 1, 21, 19, 24, 38, 78, 66, 92]"
67,64,"[97, 51, 42, 60, 71, 3, 19, 39, 0, 93, 25, 70, 1, 21, 20, 6, 30, 8, 23, 55, 27, 84, 78, 98, 22, 47, 66, 92, 44, 53, 65, 45, 7, 35, 13, 83, 34, 88, 46, 48, 87, 10, 57, 32, 80, 63, 33, 50, 58, 52, 56, 75, 91, 36, 12, 62, 67, 72, 89, 95]"
68,65,"[61, 67, 91, 33, 50, 31, 39, 84, 98, 53, 72, 62, 82, 57, 73, 94, 5, 12, 80, 83, 20, 8, 64, 63, 55, 66, 97, 35, 3, 59, 1, 44, 37, 32, 60, 47, 86, 46, 28, 95, 9, 13, 54, 7, 48, 26, 92, 30, 70, 77, 36, 41, 0, 2, 69, 45, 58, 49, 34, 6]"
69,66,"[60, 2, 32, 40, 41, 14, 26, 16, 77, 98, 17, 45, 42, 44, 54, 95, 86, 59, 53, 9, 90, 56, 19, 5, 64, 24, 28, 82, 7, 27, 74, 76, 75, 21, 34, 18, 69, 55, 51, 62, 6, 61, 52, 15, 1, 88, 46, 10, 43, 83, 96, 33, 94, 11, 65, 48, 93, 84, 4, 78]"
70,67,"[74, 81, 55, 60, 49, 83, 80, 28, 1, 87, 94, 72, 57, 76, 32, 85, 30, 26, 93, 47, 38, 59, 2, 0, 58, 88, 45, 63, 92, 3, 4, 46, 90, 65, 10, 50, 42, 82, 36, 84, 5, 12, 56, 20, 53, 34, 31, 41, 79, 54, 37, 89, 9, 13, 51, 17, 73, 7, 39, 35]"
71,68,"[74, 2, 37, 55, 31, 82, 76, 32, 97, 40, 38, 52, 14, 23, 50, 24, 77, 34, 18, 12, 93, 59, 81, 0, 27, 67, 6, 51, 69, 43, 46, 54, 64, 5, 15, 65, 79, 70, 19, 48, 45, 16, 95, 99, 83, 78, 62, 98, 73, 29, 88, 87, 22, 66, 41, 21, 20, 84, 71, 47]"
72,69,"[89, 29, 9, 45, 91, 75, 1, 52, 47, 50, 12, 92, 98, 28, 64, 94, 60, 66, 0, 16, 20, 18, 95, 32, 58, 8, 68, 84, 78, 41, 38, 73, 42, 6, 53, 86, 4, 71, 23, 79, 5, 11, 35, 57, 33, 15, 36, 26, 72, 76, 61, 22, 13, 19, 10, 83, 44, 40, 87, 34]"
73,70,"[89, 55, 99, 23, 9, 6, 88, 26, 95, 51, 25, 66, 91, 57, 56, 28, 70, 4, 7, 94, 41, 24, 77, 17, 10, 35, 21, 96, 61, 84, 49, 14, 5, 65, 1, 64, 58, 68, 90, 31, 43, 67, 74, 12, 54, 71, 45, 53, 18, 79, 60, 59, 33, 63, 97, 37, 69, 40, 39, 2]"
74,71,"[42, 12, 9, 58, 69, 96, 66, 26, 62, 5, 20, 81, 65, 93, 7, 43, 54, 34, 78, 8, 41, 16, 13, 44, 15, 75, 25, 72, 27, 50, 90, 74, 39, 77, 98, 89, 60, 38, 68, 53, 52, 91, 84, 1, 23, 45, 64, 71, 57, 4, 36, 73, 31, 63, 46, 76, 28, 94, 70, 67]"
75,72,"[20, 42, 86, 32, 33, 35, 13, 19, 66, 83, 90, 47, 31, 77, 88, 2, 76, 64, 98, 71, 84, 55, 4, 23, 8, 28, 52, 38, 75, 22, 56, 69, 97, 63, 16, 96, 30, 24, 21, 9, 92, 1, 78, 72, 82, 36, 61, 43, 26, 10, 94, 50, 48, 34, 54, 80, 74, 11, 15, 44]"
76,73,"[18, 60, 41, 14, 49, 91, 47, 70, 19, 36, 23, 95, 74, 78, 66, 56, 75, 72, 8, 87, 86, 82, 52, 7, 85, 40, 73, 33, 94, 13, 31, 44, 98, 50, 97, 35, 76, 2, 45, 6, 34, 83, 21, 90, 25, 16, 11, 80, 53, 64, 28, 10, 54, 5, 69, 77, 32, 30, 37, 62]"
