1,*********************,*********************
79,76,"[93, 1, 7, 61, 68, 74, 97, 51, 25, 62, 91, 43, 19, 89, 64, 78, 23, 40, 8, 41, 96, 47, 24, 77, 99, 75, 70, 4, 58, 95, 67, 66, 28, 29, 9, 2, 39, 33, 80, 17]"
80,77,"[17, 26, 93, 3, 82, 4, 63, 57, 88, 73, 78, 20, 92, 47, 91, 21, 64, 1, 79, 25, 23, 8, 18, 58, 67, 94, 33, 85, 90, 0, 76, 41, 37, 38, 30, 9, 66, 59, 45, 84]"
81,78,"[83, 22, 20, 9, 34, 18, 53, 19, 69, 10, 49, 59, 0, 65, 12, 11, 57, 27, 98, 37, 7, 41, 30, 3, 17, 39, 63, 47, 13, 46, 32, 88, 24, 2, 42, 54, 82, 93, 26, 72]"
82,79,"[2, 3, 60, 61, 82, 36, 59, 28, 18, 71, 42, 26, 9, 41, 58, 49, 93, 68, 80, 12, 74, 32, 22, 56, 0, 64, 1, 55, 27, 47, 23, 51, 66, 11, 25, 19, 24, 54, 13, 73]"
83,80,"[28, 2, 0, 50, 71, 12, 29, 8, 3, 89, 18, 73, 22, 45, 65, 72, 14, 33, 61, 51, 58, 26, 91, 97, 66, 75, 21, 32, 78, 9, 82, 92, 74, 31, 43, 70, 93, 54, 24, 49]"
84,81,"[74, 71, 19, 85, 8, 87, 41, 94, 18, 52, 72, 69, 55, 24, 48, 16, 11, 89, 27, 75, 35, 78, 63, 6, 51, 7, 88, 5, 38, 67, 56, 82, 39, 28, 45, 73, 91, 65, 10, 17]"
85,82,"[48, 43, 83, 26, 27, 10, 19, 38, 42, 75, 71, 6, 92, 31, 20, 57, 79, 51, 87, 82, 81, 62, 98, 94, 95, 67, 65, 5, 78, 49, 53, 34, 2, 32, 96, 59, 39, 52, 91, 86]"
86,83,"[95, 30, 17, 66, 28, 51, 91, 64, 54, 8, 86, 74, 76, 2, 34, 75, 87, 60, 21, 44, 93, 33, 13, 70, 62, 90, 69, 23, 72, 71, 16, 19, 45, 47, 32, 88, 48, 89, 50, 80]"
87,84,"[52, 96, 21, 0, 68, 95, 29, 49, 92, 37, 60, 85, 44, 90, 81, 45, 73, 5, 18, 67, 58, 53, 42, 72, 41, 51, 6, 1, 28, 14, 4, 40, 91, 9, 25, 78, 35, 47, 61, 55]"
88,85,"[28, 78, 21, 66, 58, 39, 12, 98, 75, 27, 31, 2, 91, 52, 59, 83, 81, 13, 65, 76, 16, 89, 74, 25, 82, 67, 0, 70, 62, 29, 18, 1, 71, 40, 88, 84, 51, 30, 24, 45]"
89,86,"[48, 47, 32, 57, 21, 61, 38, 33, 50, 9, 29, 3, 91, 82, 65, 89, 86, 5, 73, 90, 46, 79, 49, 23, 94, 87, 56, 84, 11, 44, 16, 25, 19, 30, 24, 92, 7, 28, 67, 43]"
90,87,"[18, 89, 71, 33, 11, 47, 48, 38, 22, 46, 0, 52, 87, 98, 81, 4, 72, 39, 75, 1, 27, 20, 85, 26, 54, 43, 64, 56, 2, 34, 61, 51, 74, 6, 23, 65, 10, 35, 60, 50]"
91,88,"[15, 6, 76, 82, 11, 98, 77, 53, 81, 68, 24, 54, 69, 83, 95, 87, 20, 64, 66, 30, 13, 80, 3, 52, 79, 89, 34, 39, 27, 21, 74, 45, 50, 70, 97, 22, 9, 35, 57, 56]"
92,89,"[46, 25, 24, 30, 47, 98, 5, 61, 95, 96, 93, 29, 79, 66, 56, 20, 72, 86, 41, 92, 9, 26, 52, 12, 74, 33, 68, 99, 6, 11, 18, 16, 3, 75, 27, 44, 34, 15, 81, 42]"
93,90,"[79, 27, 74, 60, 63, 33, 17, 92, 65, 70, 44, 13, 18, 85, 93, 96, 97, 75, 40, 62, 32, 37, 90, 64, 9, 34, 68, 48, 73, 16, 36, 38, 1, 87, 35, 24, 43, 42, 88, 8]"
94,91,"[30, 39, 63, 9, 22, 40, 75, 27, 0, 62, 67, 8, 95, 49, 37, 42, 61, 53, 19, 69, 35, 38, 11, 83, 14, 84, 92, 81, 50, 45, 16, 25, 21, 59, 99, 60, 55, 70, 93, 31]"
95,92,"[65, 79, 93, 21, 32, 47, 51, 83, 84, 99, 73, 61, 30, 88, 52, 76, 18, 11, 50, 22, 58, 55, 81, 78, 1, 98, 67, 68, 53, 82, 43, 38, 39, 85, 29, 46, 35, 66, 59, 45]"
96,93,"[9, 25, 78, 3, 99, 65, 17, 79, 7, 53, 87, 81, 68, 15, 40, 60, 62, 85, 69, 41, 47, 16, 33, 55, 59, 75, 29, 10, 30, 46, 83, 37, 88, 2, 32, 13, 35, 19, 76, 52]"
97,94,"[42, 99, 24, 47, 69, 66, 98, 20, 41, 14, 55, 4, 45, 68, 86, 57, 13, 7, 80, 10, 54, 17, 74, 22, 16, 2, 70, 25, 19, 52, 59, 44, 49, 67, 79, 95, 29, 46, 89, 18]"
98,95,"[49, 61, 2, 86, 67, 63, 3, 36, 90, 23, 76, 44, 96, 31, 95, 13, 40, 41, 58, 99, 35, 6, 17, 80, 22, 9, 81, 7, 34, 71, 70, 78, 1, 8, 59, 0, 25, 45, 94, 30]"
99,96,"[92, 0, 80, 90, 99, 7, 97, 39, 37, 72, 51, 28, 76, 29, 50, 30, 61, 21, 91, 74, 98, 69, 44, 96, 94, 63, 41, 16, 64, 24, 48, 36, 8, 54, 75, 82, 26, 5, 18, 73]"
100,97,"[65, 48, 3, 77, 95, 36, 45, 88, 55, 0, 64, 5, 38, 82, 51, 9, 60, 68, 94, 57, 85, 14, 78, 27, 37, 69, 34, 80, 66, 31, 59, 81, 87, 19, 99, 6, 18, 20, 72, 74]"
101,98,"[91, 4, 21, 53, 61, 67, 93, 14, 73, 31, 49, 0, 86, 85, 92, 56, 50, 35, 39, 18, 88, 6, 8, 75, 1, 9, 42, 87, 45, 76, 47, 41, 20, 63, 89, 94, 58, 60, 23, 48]"
102,99,"[8, 23, 82, 95, 70, 32, 56, 48, 53, 33, 55, 51, 75, 45, 85, 74, 19, 93, 94, 36, 7, 77, 17, 57, 62, 87, 2, 83, 16, 3, 34, 30, 61, 54, 25, 63, 60, 43, 73, 81]"
103,100,"[43, 32, 5, 95, 18, 64, 70, 81, 62, 87, 4, 55, 16, 99, 47, 11, 35, 23, 82, 75, 61, 51, 78, 12, 9, 89, 98, 67, 45, 68, 20, 48, 44, 3, 86, 46, 63, 92, 31, 90]"
