1,*********************,*********************
89,86,"[70, 18, 86, 34, 28, 62, 98, 72, 9, 89]"
90,87,"[86, 4, 59, 34, 26, 43, 28, 90, 94, 5]"
91,88,"[29, 97, 13, 30, 20, 27, 60, 92, 11, 7]"
92,89,"[45, 42, 90, 22, 97, 50, 74, 68, 27, 86]"
93,90,"[76, 82, 17, 12, 14, 87, 30, 28, 18, 91]"
94,91,"[88, 81, 76, 74, 39, 90, 63, 6, 85, 36]"
95,92,"[89, 85, 42, 44, 97, 25, 41, 83, 88, 12]"
96,93,"[80, 15, 2, 45, 18, 71, 94, 30, 82, 92]"
97,94,"[87, 30, 56, 25, 68, 49, 39, 55, 17, 92]"
98,95,"[53, 37, 82, 8, 74, 86, 50, 65, 2, 62]"
99,96,"[39, 8, 47, 33, 80, 60, 21, 77, 70, 89]"
100,97,"[69, 44, 8, 40, 0, 55, 9, 78, 74, 36]"
101,98,"[52, 89, 14, 45, 42, 43, 15, 40, 70, 25]"
102,99,"[98, 32, 70, 88, 68, 5, 82, 43, 46, 47]"
103,100,"[36, 81, 65, 27, 2, 98, 46, 35, 50, 9]"
