1,*********************,*********************
27,24,"[10, 7, 13, 1, 5, 0, 19, 3, 17, 2, 8, 14, 9, 12, 11, 6, 15, 4, 16, 18]"
28,25,"[2, 17, 9, 5, 14, 0, 18, 7, 16, 1, 6, 19, 15, 3, 13, 12, 4, 11, 8, 10]"
29,26,"[2, 6, 8, 4, 11, 7, 12, 17, 15, 9, 19, 5, 18, 10, 0, 1, 16, 3, 14, 13]"
30,27,"[9, 1, 19, 3, 7, 10, 17, 18, 6, 12, 13, 11, 14, 4, 2, 5, 15, 8, 16, 0]"
31,28,"[1, 12, 14, 9, 13, 7, 15, 2, 5, 6, 18, 19, 0, 16, 4, 10, 8, 3, 17, 11]"
32,29,"[14, 1, 5, 17, 19, 12, 10, 0, 16, 6, 4, 15, 2, 8, 9, 3, 18, 7, 11, 13]"
33,30,"[3, 15, 14, 17, 8, 0, 9, 10, 1, 13, 4, 18, 11, 6, 5, 7, 16, 19, 2, 12]"
34,31,"[2, 0, 7, 8, 4, 14, 11, 16, 15, 10, 5, 18, 6, 17, 3, 13, 9, 1, 19, 12]"
35,32,"[9, 15, 17, 4, 12, 10, 7, 6, 8, 3, 14, 18, 1, 13, 0, 11, 5, 2, 19, 16]"
36,33,"[11, 0, 18, 3, 14, 2, 4, 15, 9, 12, 6, 8, 16, 7, 19, 17, 10, 1, 5, 13]"
37,34,"[15, 5, 11, 2, 1, 4, 18, 3, 17, 13, 19, 6, 16, 7, 10, 0, 14, 9, 12, 8]"
38,35,"[10, 4, 7, 13, 5, 19, 17, 9, 14, 3, 2, 11, 18, 6, 15, 0, 8, 12, 16, 1]"
39,36,"[14, 10, 6, 19, 8, 5, 17, 0, 12, 16, 9, 3, 2, 13, 7, 18, 4, 11, 15, 1]"
40,37,"[4, 14, 8, 11, 16, 0, 2, 17, 19, 1, 13, 12, 5, 18, 10, 9, 7, 3, 6, 15]"
41,38,"[3, 9, 14, 1, 12, 13, 11, 16, 17, 5, 2, 18, 6, 4, 10, 7, 0, 15, 19, 8]"
42,39,"[1, 14, 6, 4, 10, 12, 13, 8, 2, 7, 16, 15, 5, 9, 17, 0, 19, 11, 3, 18]"
43,40,"[6, 1, 13, 5, 2, 11, 17, 8, 15, 19, 4, 10, 9, 7, 18, 14, 16, 3, 0, 12]"
44,41,"[12, 0, 9, 17, 10, 3, 2, 13, 11, 5, 1, 19, 4, 14, 15, 6, 16, 18, 7, 8]"
45,42,"[11, 18, 0, 17, 6, 3, 14, 13, 12, 9, 7, 16, 19, 15, 4, 2, 1, 5, 10, 8]"
46,43,"[4, 12, 18, 5, 19, 2, 8, 6, 15, 11, 13, 0, 14, 1, 9, 3, 10, 16, 7, 17]"
47,44,"[18, 4, 12, 14, 6, 0, 11, 5, 10, 16, 17, 2, 19, 3, 8, 15, 9, 1, 13, 7]"
48,45,"[0, 6, 19, 9, 2, 3, 11, 16, 4, 7, 12, 5, 10, 15, 1, 8, 17, 14, 13, 18]"
49,46,"[7, 19, 16, 1, 3, 8, 6, 14, 15, 13, 12, 0, 11, 10, 2, 4, 9, 18, 17, 5]"
50,47,"[16, 5, 15, 10, 2, 4, 11, 18, 12, 8, 9, 0, 14, 7, 13, 6, 17, 1, 19, 3]"
51,48,"[14, 12, 11, 3, 13, 9, 5, 15, 19, 17, 18, 8, 2, 10, 4, 6, 1, 7, 0, 16]"
52,49,"[1, 17, 12, 18, 13, 3, 8, 15, 4, 9, 6, 14, 0, 2, 19, 10, 7, 5, 11, 16]"
53,50,"[12, 6, 10, 7, 17, 15, 3, 16, 0, 14, 13, 9, 8, 18, 1, 4, 19, 2, 5, 11]"
54,51,"[3, 2, 14, 8, 9, 1, 13, 12, 4, 17, 6, 11, 19, 5, 0, 16, 18, 10, 15, 7]"
55,52,"[12, 0, 18, 10, 16, 15, 9, 14, 2, 6, 4, 5, 19, 8, 3, 1, 11, 13, 7, 17]"
56,53,"[17, 15, 13, 8, 12, 5, 11, 7, 0, 9, 19, 6, 10, 1, 16, 14, 2, 3, 4, 18]"
57,54,"[5, 3, 11, 0, 13, 4, 16, 9, 7, 18, 17, 12, 15, 2, 19, 10, 8, 6, 1, 14]"
58,55,"[1, 15, 17, 18, 10, 19, 9, 2, 4, 8, 11, 14, 0, 12, 6, 7, 3, 5, 16, 13]"
59,56,"[7, 2, 1, 15, 18, 5, 4, 9, 16, 10, 17, 14, 0, 13, 3, 11, 12, 6, 19, 8]"
60,57,"[7, 11, 10, 18, 6, 0, 19, 13, 15, 8, 5, 1, 14, 4, 12, 16, 2, 9, 3, 17]"
61,58,"[9, 11, 17, 4, 5, 14, 2, 13, 18, 15, 6, 12, 19, 8, 1, 10, 7, 0, 3, 16]"
62,59,"[6, 17, 4, 13, 11, 16, 3, 12, 0, 2, 5, 8, 1, 9, 7, 10, 18, 19, 15, 14]"
63,60,"[14, 18, 16, 2, 10, 7, 17, 19, 12, 5, 15, 13, 8, 3, 1, 6, 4, 0, 9, 11]"
64,61,"[1, 7, 11, 6, 16, 19, 13, 10, 5, 9, 15, 0, 2, 14, 18, 12, 17, 8, 4, 3]"
65,62,"[18, 17, 15, 16, 19, 9, 5, 11, 13, 3, 4, 6, 10, 0, 7, 8, 2, 14, 1, 12]"
66,63,"[0, 3, 8, 9, 10, 6, 13, 2, 12, 4, 19, 16, 11, 7, 14, 15, 17, 18, 1, 5]"
67,64,"[9, 4, 0, 13, 19, 2, 7, 11, 10, 6, 14, 5, 16, 18, 3, 12, 1, 15, 17, 8]"
68,65,"[11, 2, 6, 8, 18, 14, 9, 3, 13, 0, 12, 16, 5, 4, 19, 17, 7, 1, 15, 10]"
69,66,"[2, 0, 13, 10, 4, 18, 1, 17, 8, 15, 5, 3, 6, 7, 19, 14, 11, 16, 12, 9]"
70,67,"[19, 14, 3, 13, 15, 1, 16, 2, 18, 5, 17, 7, 12, 0, 11, 6, 4, 10, 8, 9]"
71,68,"[9, 17, 19, 6, 5, 13, 1, 11, 15, 7, 8, 16, 2, 12, 4, 14, 3, 18, 10, 0]"
72,69,"[15, 5, 11, 17, 14, 18, 7, 3, 0, 4, 10, 1, 2, 16, 12, 13, 19, 9, 8, 6]"
73,70,"[3, 8, 9, 13, 0, 15, 6, 16, 17, 12, 11, 7, 5, 1, 14, 10, 2, 19, 4, 18]"
74,71,"[11, 14, 19, 2, 17, 5, 18, 13, 4, 10, 1, 9, 16, 8, 15, 0, 6, 12, 7, 3]"
75,72,"[9, 7, 16, 17, 10, 4, 3, 15, 14, 12, 6, 18, 13, 11, 8, 2, 1, 19, 5, 0]"
76,73,"[13, 12, 6, 10, 17, 2, 4, 3, 7, 5, 8, 9, 15, 19, 16, 14, 1, 18, 11, 0]"
77,74,"[11, 12, 0, 10, 7, 16, 8, 14, 9, 5, 6, 3, 15, 18, 17, 13, 19, 4, 1, 2]"
78,75,"[17, 13, 16, 19, 12, 1, 8, 2, 3, 6, 18, 5, 4, 10, 11, 0, 9, 14, 15, 7]"
79,76,"[19, 14, 2, 7, 5, 9, 10, 11, 17, 18, 13, 4, 0, 3, 1, 12, 15, 8, 6, 16]"
80,77,"[7, 8, 10, 18, 5, 12, 2, 9, 6, 1, 4, 13, 17, 15, 16, 3, 11, 14, 0, 19]"
81,78,"[12, 19, 2, 1, 0, 16, 14, 6, 4, 5, 7, 10, 11, 15, 13, 17, 9, 3, 18, 8]"
82,79,"[14, 4, 18, 0, 1, 15, 10, 11, 16, 8, 5, 17, 7, 9, 12, 13, 19, 2, 6, 3]"
83,80,"[17, 12, 16, 2, 7, 0, 10, 18, 4, 14, 8, 3, 11, 15, 6, 19, 5, 1, 9, 13]"
84,81,"[4, 18, 16, 2, 3, 10, 17, 1, 15, 9, 13, 0, 6, 5, 11, 12, 19, 8, 14, 7]"
85,82,"[7, 1, 11, 16, 12, 2, 4, 10, 13, 18, 5, 15, 0, 14, 17, 9, 19, 8, 6, 3]"
86,83,"[19, 1, 4, 8, 14, 11, 12, 5, 0, 18, 13, 6, 15, 17, 2, 10, 7, 16, 3, 9]"
87,84,"[14, 17, 9, 3, 8, 6, 1, 7, 10, 5, 13, 0, 19, 18, 12, 16, 15, 2, 11, 4]"
88,85,"[12, 9, 2, 0, 8, 10, 16, 14, 3, 6, 13, 17, 15, 4, 11, 1, 18, 5, 19, 7]"
89,86,"[10, 14, 6, 19, 0, 16, 17, 4, 9, 12, 18, 11, 8, 3, 1, 2, 13, 5, 15, 7]"
90,87,"[17, 10, 18, 13, 9, 8, 5, 3, 19, 0, 7, 11, 2, 16, 15, 6, 4, 1, 14, 12]"
91,88,"[12, 9, 0, 14, 15, 17, 6, 11, 7, 8, 4, 19, 3, 10, 1, 2, 16, 5, 13, 18]"
92,89,"[0, 11, 15, 9, 10, 2, 6, 18, 17, 19, 4, 14, 7, 13, 5, 16, 8, 3, 12, 1]"
93,90,"[16, 5, 11, 8, 18, 14, 9, 6, 4, 17, 10, 13, 3, 0, 7, 19, 2, 15, 12, 1]"
94,91,"[13, 14, 11, 17, 15, 1, 5, 12, 8, 16, 2, 6, 3, 7, 4, 19, 9, 0, 10, 18]"
95,92,"[13, 14, 0, 16, 12, 17, 8, 4, 15, 7, 2, 3, 1, 11, 5, 18, 9, 10, 6, 19]"
96,93,"[17, 6, 5, 13, 1, 19, 10, 0, 12, 7, 2, 15, 11, 18, 9, 14, 8, 4, 3, 16]"
97,94,"[0, 2, 4, 7, 14, 1, 16, 9, 5, 13, 15, 12, 17, 18, 19, 10, 6, 11, 8, 3]"
98,95,"[18, 15, 9, 2, 11, 8, 16, 14, 3, 13, 19, 17, 6, 5, 12, 4, 0, 7, 10, 1]"
99,96,"[1, 4, 19, 6, 10, 9, 0, 17, 18, 14, 3, 12, 8, 16, 13, 2, 7, 5, 11, 15]"
100,97,"[5, 16, 14, 1, 2, 3, 7, 12, 6, 8, 17, 10, 19, 18, 4, 11, 13, 15, 0, 9]"
101,98,"[8, 1, 12, 5, 4, 15, 2, 11, 16, 18, 9, 0, 17, 3, 13, 19, 6, 7, 14, 10]"
102,99,"[0, 7, 10, 3, 12, 11, 13, 8, 14, 15, 2, 16, 4, 5, 9, 6, 1, 19, 17, 18]"
103,100,"[7, 6, 10, 3, 9, 1, 2, 17, 16, 12, 4, 0, 15, 8, 13, 19, 5, 11, 14, 18]"
