num,global_rounds,id_list
20,17,"[6, 20, 44, 0, 8, 7, 28, 32, 9, 34, 24, 14, 43, 11, 4, 19, 15, 23, 48, 21, 45, 41, 13, 47, 16]"
21,18,"[26, 22, 43, 19, 29, 21, 3, 12, 18, 7, 4, 32, 31, 6, 11, 24, 23, 33, 15, 16, 14, 17, 46, 9, 48]"
22,19,"[12, 28, 26, 8, 31, 45, 33, 9, 7, 44, 23, 41, 16, 35, 3, 15, 37, 10, 4, 46, 25, 29, 11, 48, 2]"
23,20,"[46, 48, 2, 20, 8, 7, 40, 27, 49, 33, 30, 1, 10, 42, 32, 26, 24, 35, 43, 34, 44, 38, 31, 28, 13]"
24,21,"[48, 21, 18, 16, 30, 49, 15, 27, 43, 1, 17, 34, 23, 40, 8, 46, 24, 14, 28, 39, 4, 36, 2, 31, 13]"
25,22,"[9, 16, 20, 42, 49, 27, 24, 10, 21, 0, 15, 31, 2, 3, 8, 17, 33, 28, 18, 47, 48, 44, 23, 34, 1]"
26,23,"[38, 47, 28, 48, 9, 14, 22, 3, 39, 16, 36, 29, 41, 18, 40, 15, 8, 43, 23, 33, 37, 35, 7, 42, 1]"
27,24,"[47, 4, 35, 37, 1, 5, 12, 45, 42, 34, 31, 9, 28, 18, 39, 7, 19, 25, 2, 43, 10, 46, 36, 0, 23]"
28,25,"[2, 32, 33, 20, 21, 11, 24, 16, 0, 13, 47, 30, 35, 9, 31, 8, 49, 29, 48, 10, 19, 44, 27, 34, 7]"
29,26,"[5, 19, 20, 24, 28, 46, 27, 40, 43, 4, 33, 38, 45, 18, 15, 42, 17, 39, 35, 3, 44, 48, 34, 49, 13]"
30,27,"[27, 35, 14, 13, 33, 34, 15, 7, 26, 12, 4, 39, 10, 31, 9, 36, 5, 16, 20, 1, 19, 44, 41, 25, 40]"
31,28,"[27, 30, 41, 14, 28, 44, 20, 34, 3, 18, 21, 2, 22, 36, 23, 43, 47, 11, 26, 40, 16, 46, 37, 42, 15]"
32,29,"[44, 16, 9, 32, 1, 36, 17, 18, 45, 13, 22, 38, 39, 40, 5, 11, 35, 12, 49, 37, 6, 4, 31, 27, 29]"
33,30,"[42, 16, 25, 35, 0, 2, 5, 49, 7, 17, 48, 14, 32, 21, 20, 11, 47, 31, 15, 45, 9, 4, 28, 33, 34]"
34,31,"[0, 27, 48, 19, 28, 46, 49, 39, 35, 20, 12, 24, 11, 1, 47, 3, 34, 10, 15, 21, 14, 26, 37, 18, 8]"
35,32,"[24, 25, 23, 39, 42, 30, 4, 0, 49, 14, 17, 9, 27, 16, 40, 22, 20, 32, 7, 21, 18, 28, 29, 5, 48]"
36,33,"[15, 27, 40, 12, 6, 42, 31, 1, 44, 4, 16, 7, 29, 33, 26, 18, 36, 49, 11, 35, 47, 38, 8, 30, 14]"
37,34,"[30, 34, 20, 26, 24, 32, 21, 43, 48, 44, 40, 4, 28, 23, 25, 37, 31, 38, 46, 41, 0, 2, 1, 15, 13]"
38,35,"[25, 46, 45, 31, 24, 11, 20, 15, 29, 37, 7, 1, 42, 8, 47, 35, 33, 48, 26, 38, 30, 3, 5, 9, 13]"
39,36,"[21, 33, 19, 44, 49, 17, 37, 27, 20, 8, 13, 4, 36, 7, 5, 38, 41, 14, 34, 15, 18, 12, 35, 30, 11]"
40,37,"[48, 44, 6, 15, 41, 34, 7, 29, 46, 26, 14, 28, 39, 37, 8, 36, 24, 16, 9, 0, 11, 2, 10, 5, 32]"
41,38,"[33, 8, 20, 28, 23, 3, 14, 4, 39, 17, 11, 10, 16, 34, 25, 42, 40, 24, 12, 43, 36, 0, 37, 1, 18]"
42,39,"[37, 15, 11, 13, 3, 19, 7, 21, 16, 41, 8, 35, 23, 2, 28, 4, 1, 38, 17, 9, 24, 6, 22, 32, 27]"
43,40,"[1, 4, 30, 16, 40, 20, 44, 7, 36, 11, 41, 48, 13, 6, 18, 3, 38, 31, 19, 17, 37, 22, 10, 29, 28]"
44,41,"[4, 0, 42, 8, 39, 40, 12, 32, 18, 23, 44, 34, 45, 13, 29, 35, 43, 16, 1, 33, 15, 31, 28, 41, 11]"
45,42,"[5, 28, 20, 41, 16, 44, 8, 0, 18, 36, 11, 35, 6, 31, 37, 49, 38, 15, 9, 1, 42, 22, 48, 27, 43]"
46,43,"[20, 40, 0, 34, 47, 12, 32, 41, 7, 1, 14, 45, 9, 31, 35, 36, 21, 44, 17, 16, 22, 4, 10, 15, 11]"
47,44,"[33, 44, 36, 2, 39, 18, 8, 28, 9, 22, 5, 37, 24, 16, 20, 49, 4, 41, 30, 34, 15, 38, 12, 3, 0]"
48,45,"[22, 6, 18, 13, 30, 37, 0, 32, 10, 35, 12, 24, 5, 11, 40, 39, 28, 48, 44, 31, 49, 15, 4, 14, 25]"
49,46,"[0, 10, 15, 24, 12, 13, 19, 31, 29, 17, 7, 39, 30, 23, 49, 9, 46, 2, 37, 34, 5, 20, 36, 27, 22]"
50,47,"[16, 34, 2, 13, 38, 20, 45, 30, 6, 8, 9, 47, 17, 1, 14, 21, 42, 46, 23, 18, 27, 41, 22, 4, 15]"
51,48,"[30, 45, 12, 6, 25, 8, 16, 34, 43, 40, 32, 39, 2, 11, 23, 44, 7, 36, 19, 38, 15, 31, 28, 41, 24]"
52,49,"[40, 45, 15, 30, 37, 8, 36, 17, 48, 39, 12, 2, 0, 23, 33, 10, 20, 41, 14, 19, 46, 18, 44, 34, 4]"
53,50,"[9, 1, 20, 3, 37, 28, 0, 45, 2, 14, 38, 18, 31, 41, 48, 49, 21, 24, 8, 33, 15, 4, 6, 12, 17]"
54,51,"[4, 48, 38, 39, 19, 49, 13, 21, 14, 29, 45, 15, 26, 6, 32, 18, 28, 43, 10, 5, 1, 22, 36, 44, 27]"
55,52,"[43, 45, 3, 9, 17, 7, 33, 44, 0, 38, 40, 11, 23, 32, 14, 5, 4, 29, 39, 48, 12, 16, 31, 41, 28]"
56,53,"[20, 45, 19, 13, 28, 14, 44, 0, 15, 37, 23, 29, 31, 9, 32, 21, 5, 7, 25, 2, 39, 26, 12, 38, 42]"
57,54,"[38, 46, 35, 18, 13, 21, 47, 28, 42, 14, 6, 27, 8, 10, 15, 24, 9, 23, 12, 2, 3, 22, 0, 37, 45]"
58,55,"[3, 15, 9, 47, 16, 14, 36, 30, 32, 41, 13, 18, 20, 25, 35, 22, 7, 28, 27, 33, 29, 21, 6, 37, 10]"
59,56,"[33, 11, 31, 29, 36, 40, 25, 19, 18, 6, 49, 28, 5, 20, 30, 13, 3, 46, 23, 47, 4, 21, 32, 24, 38]"
60,57,"[0, 35, 27, 3, 45, 18, 15, 6, 21, 17, 11, 1, 34, 41, 36, 43, 26, 5, 37, 38, 33, 46, 48, 20, 9]"
61,58,"[14, 27, 48, 33, 6, 34, 19, 41, 17, 21, 29, 46, 12, 28, 7, 15, 18, 38, 30, 37, 1, 16, 9, 2, 10]"
62,59,"[37, 32, 23, 12, 5, 17, 4, 28, 42, 10, 31, 24, 0, 39, 1, 2, 29, 19, 34, 41, 49, 6, 45, 22, 43]"
63,60,"[13, 47, 0, 49, 33, 10, 19, 9, 20, 25, 5, 11, 6, 4, 34, 27, 7, 35, 15, 36, 2, 26, 17, 39, 23]"
64,61,"[48, 15, 33, 44, 43, 11, 29, 7, 31, 10, 39, 45, 26, 38, 47, 8, 25, 34, 21, 9, 37, 17, 28, 23, 42]"
65,62,"[0, 23, 44, 48, 9, 31, 40, 4, 7, 20, 46, 45, 18, 49, 19, 42, 10, 13, 17, 32, 21, 14, 30, 28, 24]"
66,63,"[2, 1, 40, 20, 25, 47, 29, 38, 43, 36, 7, 42, 15, 13, 30, 49, 22, 4, 10, 37, 44, 16, 0, 24, 34]"
67,64,"[33, 30, 29, 6, 16, 49, 34, 13, 43, 44, 19, 12, 45, 23, 27, 21, 25, 24, 22, 42, 14, 41, 40, 39, 35]"
68,65,"[5, 32, 10, 7, 27, 29, 40, 9, 46, 8, 12, 30, 19, 35, 39, 33, 31, 6, 42, 3, 1, 4, 25, 26, 36]"
69,66,"[10, 44, 4, 25, 42, 45, 8, 48, 20, 39, 49, 17, 32, 30, 1, 34, 24, 38, 22, 23, 46, 9, 40, 13, 14]"
70,67,"[29, 3, 2, 18, 25, 20, 47, 36, 17, 46, 19, 14, 27, 31, 38, 6, 13, 16, 34, 49, 32, 9, 10, 48, 30]"
71,68,"[11, 32, 45, 39, 31, 4, 6, 13, 34, 38, 37, 43, 3, 30, 35, 0, 44, 15, 49, 36, 19, 7, 22, 25, 17]"
72,69,"[14, 45, 41, 20, 17, 36, 13, 5, 10, 23, 2, 3, 27, 16, 19, 6, 48, 28, 22, 29, 21, 32, 37, 31, 25]"
73,70,"[21, 49, 41, 26, 34, 40, 12, 8, 22, 20, 28, 16, 43, 6, 36, 4, 0, 7, 27, 14, 25, 19, 42, 47, 5]"
74,71,"[4, 5, 46, 24, 41, 31, 25, 35, 44, 12, 49, 45, 9, 26, 22, 42, 13, 28, 39, 30, 3, 29, 37, 33, 23]"
75,72,"[8, 41, 32, 39, 17, 48, 1, 34, 16, 29, 4, 43, 14, 46, 38, 25, 3, 47, 9, 42, 11, 6, 30, 24, 35]"
76,73,"[10, 49, 42, 38, 26, 12, 14, 11, 7, 40, 39, 9, 17, 5, 32, 0, 16, 6, 36, 31, 19, 23, 35, 21, 29]"
77,74,"[48, 24, 18, 37, 17, 39, 1, 14, 36, 30, 2, 6, 4, 44, 27, 31, 10, 15, 21, 45, 46, 26, 41, 42, 3]"
78,75,"[30, 44, 6, 43, 42, 9, 15, 21, 18, 10, 36, 26, 12, 0, 35, 8, 37, 28, 3, 33, 25, 49, 11, 20, 13]"
79,76,"[8, 33, 44, 7, 41, 12, 49, 6, 34, 36, 42, 13, 17, 47, 15, 39, 46, 2, 43, 9, 29, 5, 38, 40, 23]"
80,77,"[44, 41, 9, 16, 46, 45, 30, 32, 28, 17, 24, 21, 19, 18, 49, 14, 34, 29, 26, 36, 39, 47, 25, 48, 5]"
81,78,"[9, 34, 30, 4, 47, 32, 42, 10, 6, 22, 21, 11, 12, 24, 16, 29, 23, 7, 20, 48, 15, 19, 8, 25, 5]"
82,79,"[2, 32, 49, 37, 36, 13, 16, 43, 20, 14, 42, 35, 19, 48, 27, 12, 33, 1, 4, 24, 41, 8, 40, 26, 6]"
83,80,"[45, 19, 20, 35, 6, 47, 36, 43, 1, 15, 23, 13, 44, 31, 3, 16, 10, 25, 8, 18, 27, 32, 30, 41, 29]"
84,81,"[27, 12, 16, 22, 48, 29, 44, 18, 1, 9, 33, 38, 30, 3, 34, 37, 13, 23, 21, 43, 45, 32, 49, 4, 47]"
85,82,"[15, 3, 34, 31, 37, 7, 28, 14, 23, 46, 26, 21, 16, 18, 1, 36, 11, 49, 33, 39, 2, 27, 25, 38, 22]"
86,83,"[28, 33, 40, 49, 42, 41, 37, 46, 26, 13, 43, 44, 48, 25, 18, 14, 22, 12, 4, 3, 8, 10, 39, 11, 0]"
87,84,"[23, 32, 9, 7, 24, 33, 45, 30, 48, 36, 35, 5, 43, 22, 42, 8, 38, 31, 41, 10, 14, 2, 29, 47, 34]"
88,85,"[22, 39, 3, 14, 41, 30, 43, 42, 32, 37, 9, 11, 23, 47, 26, 21, 45, 40, 25, 31, 18, 5, 17, 29, 19]"
89,86,"[43, 36, 39, 7, 24, 29, 8, 48, 20, 41, 23, 25, 49, 5, 1, 17, 26, 28, 40, 18, 16, 31, 27, 22, 21]"
90,87,"[13, 21, 4, 29, 2, 1, 37, 6, 32, 14, 19, 41, 40, 3, 38, 10, 24, 36, 0, 44, 7, 20, 30, 23, 47]"
91,88,"[31, 1, 6, 8, 40, 36, 25, 3, 16, 17, 14, 18, 37, 29, 32, 22, 7, 11, 48, 9, 26, 49, 24, 0, 21]"
92,89,"[24, 21, 1, 5, 9, 42, 28, 31, 0, 27, 16, 4, 29, 3, 47, 6, 7, 13, 22, 49, 40, 19, 37, 43, 17]"
93,90,"[20, 8, 17, 28, 9, 25, 5, 43, 19, 11, 30, 13, 48, 47, 39, 2, 33, 41, 23, 15, 4, 24, 10, 1, 12]"
94,91,"[16, 19, 2, 27, 29, 45, 7, 35, 4, 0, 10, 9, 34, 25, 17, 8, 24, 44, 26, 23, 30, 11, 37, 28, 47]"
95,92,"[1, 33, 31, 39, 23, 20, 12, 24, 42, 28, 37, 11, 13, 27, 0, 7, 10, 25, 48, 2, 49, 8, 45, 46, 40]"
96,93,"[47, 42, 9, 30, 20, 34, 38, 16, 26, 10, 46, 5, 49, 23, 14, 2, 6, 29, 33, 31, 12, 41, 22, 43, 24]"
97,94,"[20, 10, 36, 47, 25, 34, 5, 27, 29, 16, 13, 18, 4, 39, 46, 48, 12, 45, 37, 3, 8, 2, 42, 43, 1]"
98,95,"[9, 26, 27, 20, 25, 18, 36, 45, 30, 28, 38, 12, 29, 31, 19, 41, 6, 5, 22, 40, 8, 2, 3, 35, 11]"
99,96,"[41, 47, 24, 21, 44, 23, 34, 20, 40, 43, 13, 19, 14, 39, 35, 28, 45, 25, 30, 22, 9, 18, 46, 0, 8]"
100,97,"[34, 29, 10, 40, 4, 23, 44, 11, 31, 15, 26, 16, 7, 9, 36, 37, 21, 3, 46, 0, 19, 35, 18, 14, 12]"
101,98,"[17, 42, 47, 21, 45, 18, 13, 10, 34, 19, 29, 30, 1, 37, 27, 0, 48, 16, 31, 49, 11, 46, 24, 26, 32]"
102,99,"[43, 49, 15, 44, 31, 0, 33, 24, 26, 35, 10, 37, 22, 34, 28, 6, 9, 25, 46, 11, 29, 27, 16, 48, 5]"
103,100,"[45, 42, 38, 14, 13, 22, 24, 3, 0, 8, 43, 40, 15, 36, 29, 46, 34, 26, 7, 11, 1, 48, 31, 30, 32]"
